Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
AR-Rom,MO_LENGTH,,,,,Please complete,1-5
AR-Rom,NEE_PI,,,,,Please complete,1-5
AR-Rom,P,,,,,Please complete,1-5
AR-Rom,PA,,,,,Please complete,1-5
AR-Rom,PPFD_IN,,,,,Please complete,1-5
AR-Rom,RH_1_1_1,,,,,Please complete,1-5
AR-Rom,SW_IN,,,,,Please complete,1-5
AR-Rom,TA_1_1_1,,,,,Please complete,1-5
AR-Rom,TAU_SSITC_TEST,,,,,Please complete,1-5
AR-Rom,TS_1_1_1,,,,,Please complete,1-5
AR-Rom,T_SONIC,,,,,Please complete,1-5
AR-Rom,T_SONIC_SIGMA,,,,,Please complete,1-5
AR-Rom,U_SIGMA,,,,,Please complete,1-5
AR-Rom,USTAR,,,,,Please complete,1-5
AR-Rom,V_SIGMA,,,,,Please complete,1-5
AR-Rom,WD_1_1_1,,,,,Please complete,1-5
AR-Rom,WS_1_1_1,,,,,Please complete,1-5
AR-Rom,W_SIGMA,,,,,Please complete,1-5
AR-Rom,ZL,,,,,Please complete,1-5
AR-TF1,CO2,,2.33,GA_CP-LI-COR LI-7200,,,2-5
AR-TF1,FC,,2.33,SA-Gill Windmaster Pro,GA_CP-LI-COR LI-7200,,2-5
AR-TF1,FC_SSITC_TEST,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,H,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,H_SSITC_TEST,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,LE,,2.33,GA_CP-LI-COR LI-7200,SA-Gill Windmaster Pro,,2-5
AR-TF1,LE_SSITC_TEST,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,PA,,2.33,GA_CP-LI-COR LI-7200,,,2-5
AR-TF1,PPFD_IN,,2,RAD-PAR Quantum,,,2-5
AR-TF1,RH,,2,RH-Capac,,,2-5
AR-TF1,SW_IN,,2,RAD-Pyrrad-SW+LW,,,2-5
AR-TF1,TA,,2,RH-Capac,,,2-5
AR-TF1,USTAR,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,WD,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF1,WS,,2.33,SA-Gill Windmaster Pro,,,2-5
AR-TF2,CO2,,2.32,GA_CP-LI-COR LI-7200,,,2-5
AR-TF2,FC,,2.32,SA-Gill Windmaster Pro,GA_CP-LI-COR LI-7200,,2-5
AR-TF2,FC_SSITC_TEST,,2.32,SA-Gill Windmaster Pro,,,2-5
AR-TF2,H,,2.32,SA-Gill Windmaster Pro,,,2-5
AR-TF2,H_SSITC_TEST,,2.32,SA-Gill Windmaster Pro,,,2-5
AR-TF2,LE,,2.32,GA_CP-LI-COR LI-7200,SA-Gill Windmaster Pro,,2-5
AR-TF2,LE_SSITC_TEST,,2.32,SA-Gill Windmaster Pro,,,2-5
AR-TF2,PA,,2.32,PRES-ElectBar,,,2-5
AR-TF2,PPFD_IN,,2,RAD-PAR Quantum,,,2-5
AR-TF2,RH,,2,RH-Capac,,,2-5
AR-TF2,SW_IN,,2,RAD-Pyrrad-SW+LW,,,2-5
AR-TF2,TA,,2,TEMP-ElectResis,,,2-5
AR-TF2,USTAR,,2.32,SA-Gill Windmaster Pro,,,2-5
AR-TF2,WD,,2.32,SA-Gill Windmaster Pro,,,2-5
AR-TF2,WS,,2.32,SA-Gill Windmaster Pro,,,2-5
BR-CST,APAR,,10,RAD-PAR Quantum,,,1-5
BR-CST,CO2,2013,10,GA_OP_SA-Other,,,1-5
BR-CST,FC,2013,10,GA_OP_SA-Other,SA-Campbell CSAT-3,,1-5
BR-CST,FETCH_90,,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-CST,GPP_PI,,10,GA_OP_SA-Other,SA-Campbell CSAT-3,Calculated from the data,1-5
BR-CST,H,2013,10,SA-Campbell CSAT-3,,,1-5
