SITE_ID,LAT,LON,texture_code,soil_texture,porosity,clay_fraction,sand_fraction,silt_fraction
IT-PT1,45.20087,9.06104,9.0,clay loam,0.44699999690055800,0.3122222125530240,0.3400000035762790,0.347777783870697
IT-Ren,46.58686,11.43369,3.0,sandy loam,0.4189999997615810,0.10999999940395400,0.6499999761581420,0.23000000417232500
IT-Ro1,42.40812,11.93001,6.0,loam,0.43700000643730200,0.20000000298023200,0.46000000834465000,0.3400000035762790
IT-Ro2,42.39026,11.92093,6.0,loam,0.43700000643730200,0.20000000298023200,0.46000000834465000,0.3400000035762790
IT-SR2,43.73202,10.29091,9.0,clay loam,0.44699999690055800,0.2800000011920930,0.3866666853427890,0.3333333134651180
IT-SRo,43.72786,10.28444,9.0,clay loam,0.44699999690055800,0.2800000011920930,0.3866666853427890,0.3333333134651180
IT-Tor,45.84444,7.57806,7.0,sandy clay loam,0.41200000047683700,0.2477777898311620,0.5055555701255800,0.2455555498600010
JP-MBF,44.3869,142.3186,9.0,clay loam,0.44699999690055800,0.25955554842948900,0.3544444143772130,0.38511112332344100
JP-SMF,35.2617,137.0788,9.0,clay loam,0.44999998807907100,0.3677777945995330,0.3444444239139560,0.2888889014720920
MY-PSO,2.9730,102.3062,7.0,sandy clay loam,0.41200000047683700,0.23777778446674300,0.5077778100967410,0.24666665494442000
NL-Hor,52.24035,5.0713,9.0,clay loam,0.44699999690055800,0.22333334386348700,0.47111111879348800,0.3077777922153470
NL-Loo,52.16658,5.74356,2.0,loamy sand,0.38600000739097600,0.07555555552244190,0.8188888430595400,0.11555555462837200
PA-SPn,9.31814,-79.6346,6.0,loam,0.44699999690055800,0.2644444406032560,0.4422222077846530,0.29333335161209100
PA-SPs,9.31378,-79.63143,6.0,loam,0.44699999690055800,0.2644444406032560,0.4422222077846530,0.29333335161209100
RU-Che,68.61304,161.34143,6.0,loam,0.43700000643730200,0.2199999988079070,0.36488887667655900,0.4202221930027010
RU-Cok,70.82914,147.49428,6.0,loam,0.43700000643730200,0.18288889527320900,0.4782222509384160,0.3457777798175810
RU-Fyo,56.46153,32.92208,3.0,sandy loam,0.43700000643730200,0.12999999523162800,0.5799999833107000,0.28999999165535000
RU-Ha1,54.72517,90.00215,9.0,clay loam,0.44699999690055800,0.3100000023841860,0.41999998688697800,0.27000001072883600
RU-Sam,72.3733,126.4978,6.0,loam,0.43700000643730200,0.20235294103622400,0.4411764442920690,0.36176472902298000
RU-SkP,62.2550,129.1680,6.0,loam,0.44699999690055800,0.2199999988079070,0.33000001311302200,0.44999998807907100
RU-Tks,71.59427,128.88782,6.0,loam,0.43700000643730200,0.17000000178813900,0.5099999904632570,0.3199999928474430
RU-Vrk,67.05468,62.94047,3.0,sandy loam,0.4189999997615810,0.17000000178813900,0.550000011920929,0.2800000011920930
SD-Dem,13.2829,30.4783,3.0,sandy loam,0.4189999997615810,0.16111110150814100,0.6822221875190740,0.15666666626930200
SE-St1,68.35415,19.05033,3.0,sandy loam,0.4189999997615810,0.17423076927661900,0.5557692050933840,0.27000001072883600
SJ-Adv,78.1860,15.9230,6.0,loam,0.43700000643730200,0.3400000035762790,0.33000001311302200,0.33000001311302200
SJ-Blv,78.92163,11.83109,6.0,loam,0.43700000643730200,0.3400000035762790,0.33000001311302200,0.33000001311302200
SN-Dhr,15.40278,-15.43222,3.0,sandy loam,0.4189999997615810,0.11777777969837200,0.6933333873748780,0.18888889253139500
US-AR1,36.4267,-99.4200,3.0,sandy loam,0.41200000047683700,0.18000000715255700,0.6499999761581420,0.17000000178813900
US-AR2,36.6358,-99.5975,6.0,loam,0.41200000047683700,0.19333334267139400,0.5744444131851200,0.23222221434116400
US-ARM,36.6058,-97.4888,4.0,silt loam,0.43700000643730200,0.1899999976158140,0.3499999940395360,0.46000000834465000
US-ARb,35.5497,-98.0402,4.0,silt loam,0.43700000643730200,0.1877777874469760,0.4166666865348820,0.3955555856227880
US-ARc,35.54649,-98.0400,4.0,silt loam,0.43700000643730200,0.1877777874469760,0.4166666865348820,0.3955555856227880
US-Atq,70.4696,-157.4089,6.0,loam,0.43700000643730200,0.18000000715255700,0.4699999988079070,0.3400000035762790
US-Blo,38.8953,-120.6328,6.0,loam,0.44699999690055800,0.2199999988079070,0.46000000834465000,0.3100000023841860
US-CRT,41.628495,-83.347086,11.0,silty clay,0.44699999690055800,0.23999999463558200,0.5199999809265140,0.23999999463558200
US-Cop,38.09,-109.39,3.0,sandy loam,0.43700000643730200,0.25333333015441900,0.3955555856227880,0.35111111402511600
US-GBT,41.36579,-106.2397,3.0,sandy loam,0.44699999690055800,0.2244444489479070,0.47777777910232500,0.30000001192092900
US-GLE,41.36653,-106.2399,3.0,sandy loam,0.44699999690055800,0.2244444489479070,0.47777777910232500,0.30000001192092900
US-Goo,34.2547,-89.8735,4.0,silt loam,0.43700000643730200,0.17000000178813900,0.46000000834465000,0.3700000047683720
